                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2739,                  1.696,                 1.1992,                0.61256,                0.19413,                0.22748,                0.09629,                 1.7986,                 3.0601,                 1.6835,             0.00065079,             0.00065079,             0.00065079
                      1,                 1.2801,                 1.2203,                 1.2343,                0.46094,                0.13318,                0.12879,                0.04298,                 3.1902,                 3.0467,                 3.2114,              0.0013073,              0.0013073,              0.0013073
                      2,                 1.3794,                 1.2676,                  1.292,                 0.2785,                  0.307,                0.17779,                0.07149,                 2.1476,                 4.9827,                 2.2905,              0.0019534,              0.0019534,              0.0019534
                      3,                 1.4204,                 1.2809,                 1.3362,                0.67578,                0.58465,                0.62672,                0.32945,                  1.656,                 2.4134,                 1.6185,              0.0019536,              0.0019536,              0.0019536
                      4,                 1.3615,                 1.1874,                 1.3137,                 0.7537,                0.69078,                0.76785,                 0.4564,                 1.3917,                 1.5815,                 1.3503,              0.0019536,              0.0019536,              0.0019536
                      5,                 1.3343,                 1.1417,                 1.2934,                0.65506,                0.58465,                0.63133,                0.30752,                  1.676,                  1.919,                 1.5413,              0.0019381,              0.0019381,              0.0019381
                      6,                 1.3055,                 1.0852,                 1.2888,                0.80951,                0.76975,                0.83653,                0.50724,                  1.267,                 1.4146,                 1.2764,              0.0019227,              0.0019227,              0.0019227
                      7,                 1.2719,                 1.0479,                 1.2647,                0.87121,                0.73295,                0.81916,                0.47185,                 1.4161,                 1.0484,                 1.3678,              0.0019072,              0.0019072,              0.0019072
                      8,                 1.2579,                 1.0223,                 1.2585,                0.83601,                0.71106,                0.79763,                0.46473,                 1.3733,                0.97785,                 1.3077,              0.0018917,              0.0018917,              0.0018917
                      9,                 1.2454,                 1.0124,                 1.2402,                0.88196,                0.71106,                0.80493,                   0.45,                 1.5615,                 1.0448,                 1.3873,              0.0018763,              0.0018763,              0.0018763
